ID,Name
1,3DO Interactive Multiplayer
2,64DD
3,AY-3-8606
4,Acorn Archimedes
5,Acorn Electron
6,Amazon Fire TV
7,Amiga
8,Amiga CD32
9,Amstrad CPC
10,Amstrad PCW
11,Android
12,Apple II
13,Apple IIGS
14,Apple Pippin
15,Arcade
16,Arcadia 2001
17,Atari 2600
18,Atari 5200
19,Atari 7800
20,Atari 8-bit
21,Atari Jaguar
22,Atari Jaguar CD
23,Atari Lynx
24,Atari ST/STE
25,BBC Microcomputer System
26,Bally Astrocade
27,BlackBerry OS
28,Call-A-Computer time-shared mainframe computer system
29,ColecoVision
30,Commodore 16
31,Commodore C64/128/MAX
32,Commodore CDTV
33,Commodore Plus/4
34,Commodore VIC-20
35,DOS
36,DVD Player
37,Daydream
38,Digiblast
39,Donner Model 30
40,Dragon 32/64
41,Dreamcast
42,EDSAC
43,Elektor TV Games Computer
44,Evercade
45,FM Towns
46,FM-7
47,Family Computer
48,Family Computer Disk System
49,Game & Watch
50,Game Boy
51,Game Boy Advance
52,Game Boy Color
53,Game.com
54,Gear VR
55,Gizmondo
56,Google Stadia
57,HP 2100
58,Handheld Electronic LCD
59,Hyper Neo Geo 64
60,Intellivision
61,Intellivision Amico
62,LaserActive
63,Leapster
64,Leapster Explorer/LeadPad Explorer
65,Legacy Computer
66,Legacy Mobile Device
67,Linux
68,MSX
69,MSX2
70,Mac
71,Mega Duck/Cougar Boy
72,Meta Quest 2
73,Meta Quest 3
74,N-Gage
75,NEC PC-6000 Series
76,Neo Geo AES
77,Neo Geo CD
78,Neo Geo MVS
79,Neo Geo Pocket
80,Neo Geo Pocket Color
81,New Nintendo 3DS
82,Nintendo 3DS
83,Nintendo 64
84,Nintendo DS
85,Nintendo DSi
86,Nintendo Entertainment System
87,Nintendo GameCube
88,Nintendo Switch
89,Nintendo Switch 2
90,Nuon
91,Oculus Quest
92,Oculus Rift
93,Oculus VR
94,Odyssey
95,Odyssey 2 / Videopac G7000
96,OnLive Game System
97,Ouya
98,PC (Microsoft Windows)
99,PC Engine SuperGrafx
100,PC-8800 Series
101,PC-9800 Series
102,PC-FX
103,PDP-10
104,PDP-11
105,PLATO
106,Palm OS
107,Panasonic Jungle
108,Panasonic M2
109,Philips CD-i
110,PlayStation
111,PlayStation 2
112,PlayStation 3
113,PlayStation 4
114,PlayStation 5
115,PlayStation Portable
116,PlayStation VR
117,PlayStation VR2
118,PlayStation Vita
119,Playdate
120,Plug & Play
121,PocketStation
122,Pokémon mini
123,Polymega
124,R-Zone
125,SG-1000
126,Satellaview
127,Sega 32X
128,Sega CD
129,Sega CD 32X
130,Sega Game Gear
131,Sega Master System/Mark III
132,Sega Mega Drive/Genesis
133,Sega Pico
134,Sega Saturn
135,Sharp MZ-2200
136,Sharp X1
137,Sharp X68000
138,Sinclair ZX81
139,SteamVR
140,Super Famicom
141,Super NES CD-ROM System
142,Super Nintendo Entertainment System
143,TRS-80
144,TRS-80 Color Computer
145,Tapwave Zodiac
146,Tatung Einstein
147,Terebikko / See 'n Say Video Phone
148,Texas Instruments TI-99
149,Thomson MO5
150,Tomy Tutor / Pyuta / Grandstand Tutor
151,TurboGrafx-16/PC Engine
152,Turbografx-16/PC Engine CD
153,Uzebox
154,V.Smile
155,VC 4000
156,Vectrex
157,Virtual Boy
158,Web browser
159,Wii
160,Wii U
161,Windows Mixed Reality
162,Windows Mobile
163,Windows Phone
164,WonderSwan
165,WonderSwan Color
166,Xbox
167,Xbox 360
168,Xbox One
169,Xbox Series X|S
170,ZX Spectrum
171,Zeebo
172,iOS
173,visionOS
